"","sampleID","NO3N","NH4N","Ca","Mg","K","P","Fe","Mn","Cu","Zn","B","S","Pb","Al","Cd","Na","block","fence","plot","treatment","treatmentFull","meanRedox","meanNutrient"
"1",1,2.16,6.62,1094.42,550.15,44.08,2.7,656.12,16.88,0.23,5.49,0.54,15.33,0,50.46,0.03,223.88,"A",1,1,"c","Air Warming",0.847118202415862,0.755305680493434
"2",2,1.14,6.7,957.29,508.09,39.32,5.1,321.25,6.71,0.26,3.75,0.56,11.71,0.04,38.72,0.02,680.53,"A",1,2,"c","Control",0.505943687381281,0.716223552930602
"3",3,1.2,11.72,1123.67,537.8,75.32,4.34,334.03,15.79,0.29,6.14,0.88,13.8,0.08,55.87,0.02,1071.58,"A",1,3,"c","Air Warming",0.88262919826524,0.847298954677914
"4",4,0.6,12.5,733.73,297.75,11.55,20.64,2779.3,17.49,0.29,5.89,1.28,21.7,0.22,24.09,0.08,11.74,"A",1,4,"c","Control",1.37734284592685,1.70952913800024
"5",5,0.6,11.57,914.71,451.31,7.22,18.29,2414,7.62,0.14,5.28,1.53,12.78,0.29,25.45,0.06,24.73,"A",1,5,"w","Air + Soil Warming",0.957336871413056,1.54313279767735
"6",6,0.02,11.76,1025.19,475.77,9.72,8.05,1076.46,8.85,0.13,3.15,0.41,12.81,0.04,17.19,0.04,11.41,"A",1,6,"w","Soil Warming",0.80336092291206,0.85436543253677
"7",7,0,10.18,1266.63,634.83,10.51,13.3,1681.08,25.8,0.18,6.84,0.76,18.08,0.15,42.59,0.06,16.87,"A",1,7,"w","Air + Soil Warming",1.3348063431462,1.10276404856635
"8",8,0.86,10.52,1031.5,527.38,14.04,5.72,1217.8,21.74,0.19,7.79,0.85,14.49,0.11,48.64,0.05,18.57,"A",1,8,"w","Soil Warming",1.13618224218524,0.827645240492874
"9",9,0,12.22,741.14,333.13,12.12,8.76,2802.7,9.73,0.22,4.36,1.24,19.77,0.17,50.09,0.07,11.07,"A",2,1,"c","Air Warming",1.15724788718237,0.906961968686845
"10",10,0.82,5.84,819.54,458.64,47.1,0.9,398.18,9.76,0.11,4.69,0.59,10.39,0.08,39.15,0.04,1155.95,"A",2,2,"c","Control",0.558396731554553,0.388468992138437
